,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
175,"Apartments in Parque Lefevre | ID 3202 AMPLIO,COCINA ABIERTA ,AMOBLADO","B/.100,000.00",65,2,2,1
176,Apartments in Punta Paitilla | PUNTA PACIFICA / PH MYSTIC POINT / 242m2 / LINEA BLANCA,"B/.485,000.00",242,3,3,2
177,Apartments in Punta Paitilla | Villa Marina!,"B/.475,000.00
 (Reduced 3%)",337,3,3.5,2
178,Apartments in Condado del Rey | Green Park Torre 700 Condado Del Rey,"B/.150,000.00",102,3,3,1
179,Apartments in Balboa | Apartamento grande y acogedor para vivir con tu familia,"B/.550,000.00",269,3,2.5,2
180,Apartments in Costa del Este | Apartment For Sale In PH Ten Tower In Costa Del Este,"B/.815,000.00",419,3,4,3
181,Apartments in Avenida Balboa | Oceanfront Penthouse for Sale in Rivage,"B/.469,000.00
 (Reduced 10%)",170,2,2.5,2
182,"Apartments in San Francisco | San Francisco, $130,000 apto 93 mts2","B/.130,000.00",93,2,2.5,1
183,"Apartments in Hato Pintado | ID 2217 BALCON VISTA HERMOSA, COCINA ABIERTA","B/.138,000.00",85,2,2,1
184,"Apartments in El Carmen | SE VENDE AMPLIO APARTAMENTO EN ANDROS TOWER, EL CARMEN.","B/.355,000.00",207,3,2.5,2
185,Apartments in San Francisco | San Francisco Ph Vista Bella Park,"B/.128,000.00
 (Reduced 2%)",80,3,2,1
186,Apartments in Santa María | VENTA DE APARTAMENTO EN SANTA MARIA.,"B/.1,600,000.00",487,4,4.5,3
187,Apartments in Bella Vista | OPPORTUNITY FOR SALE AV BALBOA PH RIVAGE TOWER(NT),"B/.342,000.00",177,2,2,2
188,Apartments in San Francisco | OCEAN FRONT - PUNTA PAITILLA - APARTMENT - FOR SALE,"B/.913,400.00",320,3,4,NaN
189,"Apartments in Marbella | Vendo Hermoso apartamento en Marbella, Ph Bahía Esmeralda","B/.660,000.00",361,4,4,4
190,"Apartments in Punta Pacífica | Vendo Hermoso Apartamente en Punta Pacifica, PH Grand Tower","B/.850,000.00",302,3,3,2
191,Apartments in Coco del Mar | Se vende apartamento en Coco Place - Coco del Mar,"B/.218,000.00",84,2,2,1
192,"Apartments in Altos de Golf | Penthouse for sale of 297 m2 in PH The Regent, San Francisco","B/.630,000.00",297,3,3.5,2
193,Apartments in Costa Sur | Venta / Torres de Versalles - Apartamento amoblado / Juan Diaz,"B/.145,000.00",95,2,2,1
194,Apartments in San Francisco | Apartamento en alquiler en San Francisco 22-938MMC,"B/.315,000.00",146,3,2,2
195,APARTAMENTOS EN PH BUONA VISTA,"B/.131,850.00",59,2,2,NaN
196,Apartments in Dos Mares | GANGA APTO EN VENTA DOS MARES EDIFICIO CONSTELLATION TOWER,"B/.270,000.00",156.41,3,2.5,2
197,Apartments in Betania | Venta de Apartamento PH Genesis Plaza Betania,"B/.165,000.00",91,2,2,2
198,"Apartments in Punta Pacífica | PH Dupont en alquiler, Punta Pacifica","B/.2,700.00",217,3,2.5,2
199,"Apartments in Coco del Mar | Sobre Las Rocas, Penthouse en Coco del Mar, Apartamento en Coco del Mar","B/.795,000.00",764.12,4,4.5,2
200,Apartments in Marbella | SE VENDE - JADE TOWER SOLO CON LÍNEA BLANCA,"B/.300,000.00",138,3,2,2
201,"Apartments in Punta Pacífica | PH PACIFIC POINT, Penthouse - AMOBLADO ESPECTACULAR","B/.895,000.00",300,3,3.5,3
202,Apartments in Costa del Este | Hermoso apartamento tipo penthouse en PH Costa View - Costa del Este,"B/.378,000.00",235,3,3.5,2
203,"Apartments in Punta Pacífica | PH Dupont en venta o alquiler, Punta Pacifica","B/.375,000.00
 (Reduced 1%)",150,2,2,2
204,BELLA VISTA Nuovo by ARMANI/CASA / próxima entrega,"B/.345,000.00",102,2,3,1
205,Apartments in Avenida Balboa | BELLA VISTA Nuovo by ARMANI/CASA / Financiamiento Interno,"B/.395,000.00",128,2,2,1
206,"Apartments in Avenida Balboa | Brand new one block from Av Balboa- $ 12,000 Bonus","B/.234,000.00",98,2,3,1
207,Apartments in Marbella | Wanders &amp;amp;amp;amp;amp;amp;amp; Yoo is the new project,"B/.435,000.00",140,3,4,1
208,A ESTRENAR en calle 50 The Gray entrega 2022 FINALES,"B/.139,000.00",48,1,2,1
209,Apartments in Coco del Mar | A ESTRENAR en coco del mar,"B/.410,000.00",128,3,3.5,2
210,Apartments in Bella Vista | The Project has an excellent location in El Cangrejo,"B/.305,000.00",129,3,3.5,2
211,vive En Bella vista al mejor precio - entrega 2024,"B/.91,000.00",40,1,1,NaN
212,Epoca en Parque Lefevre entrega 2022 mediados desde 126.000$,"B/.126,000.00",55,2,2,NaN
213,Hato pintado - The balcony- cerca al parque Forestal,"B/.180,000.00",76,2,2,NaN
214,Apartments in Costa del Este | I am selling a brand new spacious family apartment in Costa del Este,"B/.390,000.00",173,3,3,2
215,Apartments in Santa María | In Santa María Golf & Country Club,"B/.457,000.00",146,3,3.5,2
216,Apartments in El Cangrejo | A ESTRENAR / EL MEJOR EDIFICIO DEL CANGREJO,"B/.290,000.00",129,3,3.5,2
217,Apartments in Avenida Balboa | A ESTRENAR EN PH DYNASTY EN BELLA VISTA,"B/.238,000.00
 (Reduced 1%)",99,2,3,1
